Ranking,Company,Market Cap (USD),Stock,Country,Sector,Industry
246,China Telecom Corp Ltd,$65.85 B,"0728
                                        

wb_incandescent",Hong Kong,Communication Services,Telecom Services
247,Itaú Unibanco Holding SA,$65.78 B,"ITUB
                                        

wb_incandescent",Brazil,Financials,Banks—Regional
248,Saudi Basic Industries Corp,$65.60 B,"2010
                                        

wb_incandescent",Saudi Arabia,Basic Materials,Chemicals
249,"MAS Real Estate, Inc.",$65.45 B,"MSP
                                        

wb_incandescent",United Kingdom,Real Estate,Real Estate—Diversified
250,Dassault Systèmes SE,$65.35 B,"DSY
                                        

wb_incandescent",France,Technology,Software—Application
251,National Australia Bank Limited,$65.24 B,"NAB
                                        

wb_incandescent",Australia,Financials,Banks—Diversified
252,Sberbank of Russia PJSC,$65.08 B,"SBER
                                        

wb_incandescent",Russia,Financials,Banks—Regional
253,Southern Copper Corporation,$64.86 B,"SCCO
                                        

wb_incandescent",United States,Basic Materials,Copper
254,DBS Group Holdings Ltd,$64.75 B,"D05
                                        

wb_incandescent",Singapore,Financials,Banks—Regional
255,Target Corporation,$64.75 B,"TGT
                                        

wb_incandescent",United States,Consumer Staples,Discount Stores
256,"Marriott International, Inc.",$64.62 B,"MAR
                                        

wb_incandescent",United States,Consumer Discretionary,Lodging
257,Volkswagen AG,$64.33 B,"VOW
                                        

wb_incandescent",Germany,Consumer Discretionary,Auto Manufacturers
258,McKesson Corporation,$63.92 B,"MCK
                                        

wb_incandescent",United States,Healthcare,Medical Distribution
259,London Stock Exchange Group plc,$63.90 B,"LSEG
                                        

wb_incandescent",United Kingdom,Financials,Financial Data & Stock Exchanges
260,Rosneft Oil Co PJSC,$63.33 B,"ROSN
                                        

wb_incandescent",Russia,Energy,Oil & Gas Integrated
261,"PayPal Holdings, Inc.",$63.02 B,"PYPL
                                        

wb_incandescent",United States,Financials,Credit Services
262,Meituan,$63.00 B,"3690
                                        

wb_incandescent",China,Consumer Discretionary,Internet Retail
263,Chugai Pharmaceutical Co. Ltd,$62.94 B,"4519
                                        

wb_incandescent",Japan,Healthcare,Drug Manufacturers—General
264,Lululemon Athletica Inc.,$62.85 B,"LULU
                                        

wb_incandescent",Canada,Consumer Discretionary,Apparel Retail
265,Oriental Land Co. Ltd,$62.69 B,"4661
                                        

wb_incandescent",Japan,Consumer Discretionary,Leisure
266,Nongfu Spring Co. Ltd,$62.21 B,"9633
                                        

wb_incandescent",China,Consumer Staples,Beverages—Non-Alcoholic
267,FedEx Corporation,$61.88 B,"FDX
                                        

wb_incandescent",United States,Industrials,Integrated Freight & Logistics
268,Nintendo Co Ltd,$61.63 B,"7974
                                        

wb_incandescent",Japan,Communication Services,Electronic Gaming & Multimedia
269,"VMware, Inc.","$61.52 B
                                            (Dec. 1, 2023)","VMW
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
270,"Chipotle Mexican Grill, Inc.",$61.30 B,"CMG
                                        

wb_incandescent",United States,Consumer Discretionary,Restaurants
271,"NetEase, Inc.",$60.95 B,"9999
                                        

wb_incandescent",China,Communication Services,Internet Content & Information
272,"The PNC Financial Services Group, Inc.",$60.76 B,"PNC
                                        

wb_incandescent",United States,Financials,Banks—Regional
273,Ferrari N.V.,$60.56 B,"RACE
                                        

wb_incandescent",Italy,Consumer Discretionary,Auto Manufacturers
274,Snowflake Inc.,$60.54 B,"SNOW
                                        

wb_incandescent",United States,Technology,Software—Application
275,Brookfield Corporation,$60.42 B,"BN
                                        

wb_incandescent",Canada,Financials,Asset Management
276,"Air Products and Chemicals, Inc.",$60.19 B,"APD
                                        

wb_incandescent",United States,Basic Materials,Chemicals
277,Monster Beverage Corporation,$60.04 B,"MNST
                                        

wb_incandescent",United States,Consumer Staples,Beverages—Non-Alcoholic
278,ITOCHU Corp,$59.99 B,"8001
                                        

wb_incandescent",Japan,Industrials,Conglomerates
279,Marathon Petroleum Corporation,$59.95 B,"MPC
                                        

wb_incandescent",United States,Energy,Oil & Gas Refining & Marketing
280,3M Company,$59.74 B,"MMM
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
281,Phillips 66,$59.72 B,"PSX
                                        

wb_incandescent",United States,Energy,Oil & Gas Refining & Marketing
282,Fortescue Metals Group Limited,$59.12 B,"FMG
                                        

wb_incandescent",Australia,Basic Materials,Other Industrial Metals & Mining
283,Cintas Corporation,$59.02 B,"CTAS
                                        

wb_incandescent",United States,Industrials,Specialty Business Services
284,Mitsui & Co. Ltd,$58.72 B,"8031
                                        

wb_incandescent",Japan,Energy,Oil & Gas E&P
285,"CrowdStrike Holdings, Inc.",$58.68 B,"CRWD
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
286,Enterprise Products Partners L.P.,$58.64 B,"EPD
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
287,Freeport-McMoRan Inc.,$58.59 B,"FCX
                                        

wb_incandescent",United States,Basic Materials,Copper
288,Aon Plc,$58.24 B,"AON
                                        

wb_incandescent",Ireland,Financials,Insurance Brokers
289,Deutsche Post AG,$58.13 B,"DHL
                                        

wb_incandescent",Germany,Industrials,Integrated Freight & Logistics
290,Parker-Hannifin Corporation,$58.08 B,"PH
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
291,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,$57.81 B,"MUV2
                                        

wb_incandescent",Germany,Financials,Insurance—Reinsurance
292,Alimentation Couche-Tard Inc.,$57.69 B,"ATD
                                        

wb_incandescent",Canada,Consumer Staples,Grocery Stores
293,Heineken N.V.,$57.68 B,"HEIA
                                        

wb_incandescent",Netherlands,Consumer Staples,Beverages—Brewers
294,Bank of Nova Scotia,$57.48 B,"BNS
                                        

wb_incandescent",Canada,Financials,Banks—Diversified
295,Humana Inc.,$57.44 B,"HUM
                                        

wb_incandescent",United States,Healthcare,Healthcare Plans
296,"Charter Communications, Inc.",$57.18 B,"CHTR
                                        

wb_incandescent",United States,Communication Services,Entertainment
297,Amphenol Corporation,$56.89 B,"APH
                                        

wb_incandescent",United States,Technology,Electronic Components
298,Atlassian Corporation Plc,$56.79 B,"TEAM
                                        

wb_incandescent",Australia,Technology,Software—Application
299,"Roper Technologies, Inc.",$56.71 B,"ROP
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
300,Ecolab Inc.,$55.92 B,"ECL
                                        

wb_incandescent",United States,Basic Materials,Specialty Chemicals
301,"O'Reilly Automotive, Inc.",$55.83 B,"ORLY
                                        

wb_incandescent",United States,Consumer Discretionary,Specialty Retail
302,NXP Semiconductors N.V.,$55.69 B,"NXPI
                                        

wb_incandescent",Netherlands,Technology,Semiconductors
303,Intesa Sanpaolo S.p.A.,$55.63 B,"ISP
                                        

wb_incandescent",Italy,Financials,Banks—Regional
304,Eni S.p.A.,$55.18 B,"ENI
                                        

wb_incandescent",Italy,Energy,Oil & Gas Integrated
305,Westpac Banking Corporation,$55.11 B,"WBC
                                        

wb_incandescent",Australia,Financials,Banks—Diversified
306,Electricité de France SA,"$54.60 B
                                            (June 1, 2023)","EDF
                                        

wb_incandescent",France,Utilities,Utilities—Diversified
307,"Banco Bilbao Vizcaya Argentaria, SA",$54.55 B,"BBVA
                                        

wb_incandescent",Spain,Financials,Banks—Diversified
308,Trane Technologies plc,$54.54 B,"TT
                                        

wb_incandescent",Ireland,Industrials,Specialty Industrial Machinery
309,Dell Technologies Inc.,$54.51 B,"DELL
                                        

wb_incandescent",United States,Technology,Computer Hardware
310,Daiichi Sankyo Company Ltd,$54.41 B,"4568
                                        

wb_incandescent",Japan,Healthcare,Drug Manufacturers—General
311,Emerson Electric Co.,$54.35 B,"EMR
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
312,Bank of Communications Co. Ltd,$54.31 B,"601328
                                        

wb_incandescent",China,Financials,Banks—Diversified
313,Saudi Telecom Company,$54.30 B,"7010
                                        

wb_incandescent",Saudi Arabia,Communication Services,Telecom Services
314,TransDigm Group Incorporated,$53.96 B,"TDG
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
315,Pioneer Natural Resources Company,$53.57 B,"PXD
                                        

wb_incandescent",United States,Energy,Oil & Gas E&P
316,Public Storage,$53.43 B,"PSA
                                        

wb_incandescent",United States,Real Estate,REIT—Industrial
317,Kering SA,$53.32 B,"KER
                                        

wb_incandescent",France,Consumer Discretionary,Luxury Goods
318,Constellation Software Inc.,$53.19 B,"CSU
                                        

wb_incandescent",Canada,Technology,Software—Application
319,Occidental Petroleum Corporation,$53.19 B,"OXY
                                        

wb_incandescent",United States,Energy,Oil & Gas E&P
320,"Honda Motor Co., Ltd.",$52.91 B,"7267
                                        

wb_incandescent",Japan,Consumer Discretionary,Auto Manufacturers
321,"Nesco Holdings, Inc.",$52.83 B,"NSCO
                                        

wb_incandescent",United States,Industrials,Rental & Leasing Services
322,Australia and New Zealand Banking Group Limited,$52.78 B,"ANZ
                                        

wb_incandescent",Australia,Financials,Banks—Diversified
323,Norfolk Southern Corporation,$52.68 B,"NSC
                                        

wb_incandescent",United States,Industrials,Railroads
324,PT Bank Rakyat Indonesia (Persero) Tbk,$52.65 B,"BYRA
                                        

wb_incandescent",Indonesia,Financials,Banks—Regional
325,"Simon Property Group, Inc.",$52.56 B,"SPG
                                        

wb_incandescent",United States,Real Estate,REIT—Retail
326,"Motorola Solutions, Inc.",$51.78 B,"MSI
                                        

wb_incandescent",United States,Technology,Communication Equipment
327,"Republic Services, Inc.",$51.65 B,"RSG
                                        

wb_incandescent",United States,Industrials,Waste Management
328,National Grid plc,$50.48 B,"NG.
                                        

wb_incandescent",United Kingdom,Utilities,Utilities—Diversified
329,"Tokio Marine Holdings, Inc.",$50.24 B,"8766
                                        

wb_incandescent",Japan,Financials,Insurance—Property & Casualty
330,Marvell Technology Group Ltd.,$50.20 B,"MRVL
                                        

wb_incandescent",Bermuda,Technology,Semiconductors
331,Rational AG,$50.16 B,"RAA
                                        

wb_incandescent",Germany,Industrials,Industrial Distribution
332,AB Volvo,$50.15 B,"VOL4
                                        

wb_incandescent",Sweden,Industrials,Farm & Heavy Construction Machinery
333,Reckitt Benckiser Group plc,$50.09 B,"RKT
                                        

wb_incandescent",United Kingdom,Consumer Staples,Household & Personal Products
334,"MetLife, Inc.",$49.96 B,"MET
                                        

wb_incandescent",United States,Financials,Insurance—Life
335,Infineon Technologies AG,$49.86 B,"IFX
                                        

wb_incandescent",Germany,Technology,Semiconductors
336,Capital One Financial Corporation,$49.78 B,"COF
                                        

wb_incandescent",United States,Financials,Credit Services
337,ING Groep N.V.,$49.73 B,"INGA
                                        

wb_incandescent",Netherlands,Financials,Banks—Diversified
338,PACCAR Inc,$49.66 B,"PCAR
                                        

wb_incandescent",United States,Industrials,Farm & Heavy Construction Machinery
339,The Estée Lauder Companies Inc.,$49.62 B,"EL
                                        

wb_incandescent",United States,Consumer Staples,Household & Personal Products
340,"Marvell Technology, Inc.",$49.61 B,"9MW
                                        

wb_incandescent",United States,Technology,Semiconductors
341,Crown Castle International Corp. (REIT),$49.44 B,"CCI
                                        

wb_incandescent",United States,Real Estate,REIT—Specialty
342,"MediaTek, Inc.",$49.33 B,"2454
                                        

wb_incandescent",Taiwan,Technology,Semiconductors
343,Shenzhen Mindray Bio-Medical Electronics Co. Ltd,$49.33 B,"300760
                                        

wb_incandescent",China,Healthcare,Medical Devices
344,Truist Financial Corporation,$49.31 B,"TFC
                                        

wb_incandescent",United States,Financials,Banks—Regional
345,"D.R. Horton, Inc.",$49.27 B,"DHI
                                        

wb_incandescent",United States,Consumer Discretionary,Residential Construction
346,Welltower Inc.,$49.21 B,"WELL
                                        

wb_incandescent",United States,Real Estate,REIT—Healthcare Facilities
347,Novatek PJSC,$49.03 B,"NVTK
                                        

wb_incandescent",Russia,Energy,Oil & Gas E&P
348,"Autodesk, Inc.",$48.97 B,"ADSK
                                        

wb_incandescent",United States,Technology,Software—Application
349,PJSC Lukoil,$48.78 B,"LKOH
                                        

wb_incandescent",Russia,Energy,Oil & Gas Integrated
350,Arthur J. Gallagher & Co.,$48.77 B,"AJG
                                        

wb_incandescent",United States,Financials,Insurance Brokers
351,General Motors Company,$48.60 B,"GM
                                        

wb_incandescent",United States,Consumer Discretionary,Auto Manufacturers
352,Sika AG,$48.54 B,"SIKA
                                        

wb_incandescent",Switzerland,Basic Materials,Specialty Chemicals
353,"American International Group, Inc.",$48.18 B,"AIG
                                        

wb_incandescent",United States,Financials,Insurance—Diversified
354,Aflac Incorporated,$48.09 B,"AFL
                                        

wb_incandescent",United States,Financials,Insurance—Life
355,Sempra Energy,$47.84 B,"SRE
                                        

wb_incandescent",United States,Utilities,Utilities—Diversified
356,UniCredit S.p.A.,$47.77 B,"UCG
                                        

wb_incandescent",Italy,Financials,Banks—Regional
357,"Daikin Industries,Ltd.",$47.73 B,"6367
                                        

wb_incandescent",Japan,Industrials,Building Products & Equipment
358,Takeda Pharmaceutical Company Limited,$47.71 B,"4502
                                        

wb_incandescent",Japan,Healthcare,Drug Manufacturers—Specialty & Generic
359,Macquarie Group Limited,$47.54 B,"MQG
                                        

wb_incandescent",Australia,Financials,Capital Markets
360,Xiaomi Corp,$47.53 B,"1810
                                        

wb_incandescent",China,Technology,Consumer Electronics
361,Hon Hai Precision Industry Co. Ltd,$47.43 B,"2317
                                        

wb_incandescent",Taiwan,Technology,Electronic Components
362,"Japan Tobacco, Inc.",$47.28 B,"2914
                                        

wb_incandescent",Japan,Consumer Staples,Tobacco
363,Energy Transfer LP,$47.14 B,"ET
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
364,Saudi Arabian Mining Company,$47.11 B,"1211
                                        

wb_incandescent",Saudi Arabia,Basic Materials,Other Industrial Metals & Mining
365,BASF SE,$46.97 B,"BAS
                                        

wb_incandescent",Germany,Basic Materials,Chemicals
366,Ford Motor Company,$46.87 B,"F
                                        

wb_incandescent",United States,Consumer Discretionary,Auto Manufacturers
367,"AgriBank, FCB","$46.82 B
                                            (Dec. 1, 2023)","AGRIP
                                        

wb_incandescent",United States,Financials,Credit Services
368,Compass Group plc,$46.72 B,"CPG
                                        

wb_incandescent",United Kingdom,Consumer Discretionary,Restaurants
369,The Kraft Heinz Company,$46.69 B,"KHC
                                        

wb_incandescent",United States,Consumer Staples,Packaged Foods
370,Sempra,"$46.56 B
                                            (July 1, 2023)","SE4
                                        

wb_incandescent",United States,Utilities,Utilities—Diversified
371,Carrier Global Corporation,$46.55 B,"CARR
                                        

wb_incandescent",United States,Industrials,Building Products & Equipment
372,"DexCom, Inc.",$46.50 B,"DXCM
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
373,CRH plc,$46.37 B,"CRH
                                        

wb_incandescent",Ireland,Basic Materials,Building Materials
374,Newmont Corporation,$46.24 B,"NEM
                                        

wb_incandescent",United States,Basic Materials,Gold
375,DENSO Corp,$46.22 B,"6902
                                        

wb_incandescent",Japan,Consumer Discretionary,Auto Parts
376,Hilton Worldwide Holdings Inc.,$45.88 B,"HLT
                                        

wb_incandescent",United States,Consumer Discretionary,Lodging
377,Zijin Mining Group Co Ltd,$45.86 B,"601899
                                        

wb_incandescent",China,Basic Materials,Gold
378,A.H. Belo Corporation,$45.85 B,"AHC
                                        

wb_incandescent",United States,Communication Services,Publishing
379,Microchip Technology Incorporated,$45.77 B,"MCHP
                                        

wb_incandescent",United States,Technology,Semiconductors
380,"Mizuho Financial Group, Inc.",$45.75 B,"8411
                                        

wb_incandescent",Japan,Financials,Banks—Regional
381,PG&E Corporation,$45.71 B,"PCG
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
382,Keurig Dr Pepper Inc.,$45.58 B,"KDP
                                        

wb_incandescent",United States,Consumer Staples,Beverages—Non-Alcoholic
383,"Ross Stores, Inc.",$45.54 B,"ROST
                                        

wb_incandescent",United States,Consumer Discretionary,Apparel Retail
384,Valero Energy Corporation,$45.53 B,"VLO
                                        

wb_incandescent",United States,Energy,Oil & Gas Refining & Marketing
385,Hess Corporation,$45.40 B,"HES
                                        

wb_incandescent",United States,Energy,Oil & Gas E&P
386,"Copart, Inc.",$44.97 B,"CPRT
                                        

wb_incandescent",United States,Industrials,Specialty Business Services
387,"Fortinet, Inc.",$44.84 B,"FTNT
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
388,"IDEXX Laboratories, Inc.",$44.72 B,"IDXX
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
389,Edwards Lifesciences Corporation,$44.59 B,"EW
                                        

wb_incandescent",United States,Healthcare,Medical Devices
390,Canadian Imperial Bank of Commerce,$44.56 B,"CM
                                        

wb_incandescent",Canada,Financials,Banks—Diversified
391,BAE Systems plc,$44.54 B,"BA.
                                        

wb_incandescent",United Kingdom,Industrials,Aerospace & Defense
392,"Constellation Brands, Inc.",$44.51 B,"STZ
                                        

wb_incandescent",United States,Consumer Staples,Beverages—Wineries & Distilleries
393,"AutoZone, Inc.",$44.40 B,"AZO
                                        

wb_incandescent",United States,Consumer Discretionary,Specialty Retail
394,Suncor Energy Inc.,$44.32 B,"SU
                                        

wb_incandescent",Canada,Energy,Oil & Gas Integrated
395,MSCI Inc.,$44.27 B,"MSCI
                                        

wb_incandescent",United States,Financials,Financial Data & Stock Exchanges
396,Ambev SA,$44.27 B,"ABEV3
                                        

wb_incandescent",Brazil,Consumer Staples,Beverages—Brewers
397,"The Williams Companies, Inc.",$44.17 B,"WMB
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
398,Gazprom Neft PJSC,$44.02 B,"SIBN
                                        

wb_incandescent",Russia,Energy,Oil & Gas Integrated
399,Wesfarmers Limited,$43.99 B,"WES
                                        

wb_incandescent",Australia,Consumer Discretionary,Home Improvement Retail
400,"The Travelers Companies, Inc.",$43.98 B,"TRV
                                        

wb_incandescent",United States,Financials,Insurance—Property & Casualty
401,Crédit Agricole SA,$43.96 B,"ACA
                                        

wb_incandescent",France,Financials,Banks—Regional
402,Oversea-Chinese Banking Corp Ltd,$43.90 B,"O39
                                        

wb_incandescent",Singapore,Financials,Banks—Regional
403,"American Electric Power Company, Inc.",$43.85 B,"AEP
                                        

wb_incandescent",United States,Utilities,Utilities—Regulated Electric
404,Industrial Bank Co. Ltd,$43.55 B,"601166
                                        

wb_incandescent",China,Financials,Banks—Regional
405,"Cencora, Inc.",$43.41 B,"COR
                                        

wb_incandescent",United States,Healthcare,Medical Distribution
406,Nucor Corporation,$43.41 B,"NUE
                                        

wb_incandescent",United States,Basic Materials,Steel
407,HOYA Corp,$43.39 B,"7741
                                        

wb_incandescent",Japan,Healthcare,Medical Instruments & Supplies
408,Engie SA,$43.28 B,"ENGI
                                        

wb_incandescent",France,Utilities,Utilities—Diversified
409,Seagen Inc.,"$43.15 B
                                            (Dec. 1, 2023)","SGEN
                                        

wb_incandescent",United States,Healthcare,Biotechnology
410,Danone SA,$42.94 B,"BN
                                        

wb_incandescent",France,Consumer Staples,Packaged Foods
411,TE Connectivity Ltd.,$42.62 B,"TEL
                                        

wb_incandescent",Switzerland,Technology,Electronic Components
412,"Samsung Biologics Co.,Ltd.",$42.59 B,"207940
                                        

wb_incandescent",South Korea,Healthcare,Biotechnology
413,"Old Dominion Freight Line, Inc.",$42.47 B,"ODFL
                                        

wb_incandescent",United States,Industrials,Trucking
414,"JD.com, Inc.",$42.45 B,"9618
                                        

wb_incandescent",China,Consumer Discretionary,Internet Retail
415,Kuehne + Nagel International AG,$42.45 B,"KNIN
                                        

wb_incandescent",Switzerland,Industrials,Integrated Freight & Logistics
416,Pernod Ricard SA,$42.41 B,"RI
                                        

wb_incandescent",France,Consumer Staples,Beverages—Wineries & Distilleries
417,"Paychex, Inc.",$42.41 B,"PAYX
                                        

wb_incandescent",United States,Industrials,Staffing & Employment Services
418,PacifiCorp,$42.26 B,"PPWLM
                                        

wb_incandescent",United States,Utilities,Utilities—Diversified
419,"Block, Inc.",$42.15 B,"SQ
                                        

wb_incandescent",United States,Technology,Software—Infrastructure
420,Axis Bank Ltd,$41.87 B,"AXISBANK
                                        

wb_incandescent",India,Financials,Banks—Regional
421,Realty Income Corporation,$41.79 B,"O
                                        

wb_incandescent",United States,Real Estate,REIT—Retail
422,"ONEOK, Inc.",$41.79 B,"OKE
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
423,TC Energy Corporation,$41.55 B,"TRP
                                        

wb_incandescent",Canada,Energy,Oil & Gas Midstream
424,Hong Kong Exchanges & Clearing Ltd,$41.53 B,"0388
                                        

wb_incandescent",Hong Kong,Financials,Financial Data & Stock Exchanges
425,"Moderna, Inc.",$41.43 B,"MRNA
                                        

wb_incandescent",United States,Healthcare,Biotechnology
426,Kimberly-Clark Corporation,$41.41 B,"KMB
                                        

wb_incandescent",United States,Consumer Staples,Household & Personal Products
427,"Digital Realty Trust, Inc.",$41.30 B,"DLR
                                        

wb_incandescent",United States,Real Estate,REIT—Office
428,Centene Corporation,$41.25 B,"CNC
                                        

wb_incandescent",United States,Healthcare,Healthcare Plans
429,Lennar Corporation,$40.96 B,"LEN
                                        

wb_incandescent",United States,Consumer Discretionary,Residential Construction
430,STMicroelectronics N.V.,$40.87 B,"STM
                                        

wb_incandescent",Switzerland,Technology,Semiconductors
431,PT Bayan Resources Tbk,"$40.85 B
                                            (July 1, 2023)","BYAN
                                        

wb_incandescent",Indonesia,Energy,Thermal Coal
432,"Baidu, Inc.",$40.68 B,"9888
                                        

wb_incandescent",China,Communication Services,Internet Content & Information
433,Grupo Mexico SAB de CV,$40.57 B,"GMEXICOB
                                        

wb_incandescent",Mexico,Basic Materials,Other Industrial Metals & Mining
434,Woodside Energy Group Ltd,$40.53 B,"WDS
                                        

wb_incandescent",Australia,Energy,Oil & Gas E&P
435,"Dominion Energy, Inc.",$40.53 B,"D
                                        

wb_incandescent",United States,Utilities,Utilities—Diversified
436,"W.W. Grainger, Inc.",$40.50 B,"GWW
                                        

wb_incandescent",United States,Industrials,Industrial Distribution
437,"Cheniere Energy, Inc.",$40.35 B,"LNG
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
438,Murata Manufacturing Co. Ltd,$40.27 B,"6981
                                        

wb_incandescent",Japan,Technology,Electronic Components
439,IQVIA Holdings Inc.,$40.16 B,"IQV
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
440,"Kinder Morgan, Inc.",$40.12 B,"KMI
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
441,CITIC Securities Company Ltd,$40.07 B,"600030
                                        

wb_incandescent",China,Financials,Capital Markets
442,The Bank of New York Mellon Corporation,$40.00 B,"BK
                                        

wb_incandescent",United States,Financials,Asset Management
443,Adyen N.V.,$39.97 B,"ADYEN
                                        

wb_incandescent",Netherlands,Technology,Software—Infrastructure
444,"L3Harris Technologies, Inc.",$39.77 B,"LHX
                                        

wb_incandescent",United States,Industrials,Aerospace & Defense
445,Dr. Ing. h.c. F. Porsche AG,$39.40 B,"P911
                                        

wb_incandescent",Germany,Consumer Discretionary,Auto Manufacturers
446,Manulife Financial Corporation,$39.40 B,"MFC
                                        

wb_incandescent",Canada,Financials,Insurance—Life
447,Ferguson plc,$39.27 B,"FERG
                                        

wb_incandescent",United Kingdom,Industrials,Industrial Distribution
448,The Hershey Company,$39.23 B,"HSY
                                        

wb_incandescent",United States,Consumer Staples,Confectioners
449,Archer-Daniels-Midland Company,$39.01 B,"ADM
                                        

wb_incandescent",United States,Consumer Staples,Farm Products
450,Haleon plc,$38.90 B,"HLN
                                        

wb_incandescent",United Kingdom,Healthcare,Drug Manufacturers—Specialty & Generic
451,The Allstate Corporation,$38.86 B,"ALL
                                        

wb_incandescent",United States,Financials,Insurance—Property & Casualty
452,PT Bank Mandiri (Persero) Tbk,$38.84 B,"PQ9
                                        

wb_incandescent",Indonesia,Financials,Banks—Regional
453,Foxconn Industrial Internet Co. Ltd,$38.82 B,"601138
                                        

wb_incandescent",China,Technology,Communication Equipment
454,Lloyds Banking Group plc,$38.61 B,"LLOY
                                        

wb_incandescent",United Kingdom,Financials,Banks—Regional
455,Johnson Controls International plc,$38.59 B,"JCI
                                        

wb_incandescent",Ireland,Industrials,Engineering & Construction
456,"Ameriprise Financial, Inc.",$38.51 B,"AMP
                                        

wb_incandescent",United States,Financials,Asset Management
457,"Agilent Technologies, Inc.",$38.43 B,"A
                                        

wb_incandescent",United States,Healthcare,Diagnostics & Research
458,Bayer AG,$38.42 B,"BAYN
                                        

wb_incandescent",Germany,Healthcare,Drug Manufacturers—General
459,Jiangsu Hengrui Medicine Co. Ltd,$38.34 B,"600276
                                        

wb_incandescent",China,Healthcare,Drug Manufacturers—General
460,"Coinbase Global, Inc.",$38.32 B,"1QZ
                                        

wb_incandescent",United States,Technology,Software—Application
461,Dow Inc.,$38.32 B,"DOW
                                        

wb_incandescent",United States,Basic Materials,Chemicals
462,Las Vegas Sands Corp.,$38.17 B,"LVS
                                        

wb_incandescent",United States,Consumer Discretionary,Resorts & Casinos
463,Biogen Inc.,$38.17 B,"BIIB
                                        

wb_incandescent",United States,Healthcare,Drug Manufacturers—General
464,DSV PANALPINA A-S,$38.06 B,"DSV
                                        

wb_incandescent",Denmark,Industrials,Integrated Freight & Logistics
465,"Waste Connections, Inc.",$38.00 B,"WCN
                                        

wb_incandescent",United States,Industrials,Waste Management
466,"General Mills, Inc.",$37.90 B,"GIS
                                        

wb_incandescent",United States,Consumer Staples,Packaged Foods
467,Sysco Corporation,$37.89 B,"SYY
                                        

wb_incandescent",United States,Consumer Staples,Food Distribution
468,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",$37.85 B,"600809
                                        

wb_incandescent",China,Consumer Staples,Beverages—Wineries & Distilleries
469,Alcon Inc.,$37.65 B,"ALC
                                        

wb_incandescent",Switzerland,Healthcare,Medical Instruments & Supplies
470,Spotify Technology SA,$37.58 B,"SPOT
                                        

wb_incandescent",Luxembourg,Communication Services,Internet Content & Information
471,"JAPAN POST BANK Co.,Ltd.",$37.54 B,"7182
                                        

wb_incandescent",Japan,Financials,Banks—Regional
472,Deutsche Börse AG,$37.47 B,"DB1
                                        

wb_incandescent",Germany,Financials,Financial Data & Stock Exchanges
473,Experian plc,$37.45 B,"EXPN
                                        

wb_incandescent",Ireland,Industrials,Consulting Services
474,BCE Inc.,$37.39 B,"BCE
                                        

wb_incandescent",Canada,Communication Services,Telecom Services
475,"DoorDash, Inc.",$37.36 B,"DASH
                                        

wb_incandescent",United States,Communication Services,Internet Content & Information
476,"United Rentals, Inc.",$37.20 B,"URI
                                        

wb_incandescent",United States,Industrials,Rental & Leasing Services
477,"Prudential Financial, Inc.",$37.14 B,"PRU
                                        

wb_incandescent",United States,Financials,Insurance—Life
478,Givaudan SA,$37.12 B,"GIVN
                                        

wb_incandescent",Switzerland,Basic Materials,Specialty Chemicals
479,"Apollo Global Management, Inc.","$37.10 B
                                            (Aug. 1, 2023)","APO
                                        

wb_incandescent",United States,Financials,Asset Management
480,"AMETEK, Inc.",$37.07 B,"AME
                                        

wb_incandescent",United States,Industrials,Specialty Industrial Machinery
481,Constellation Energy Corporation,$37.00 B,"CEG
                                        

wb_incandescent",United States,Utilities,Utilities—Renewable
482,MPLX LP,$36.96 B,"MPLX
                                        

wb_incandescent",United States,Energy,Oil & Gas Midstream
483,Cognizant Technology Solutions Corporation,$36.93 B,"CTSH
                                        

wb_incandescent",United States,Technology,Information Technology Services
484,"Datadog, Inc.",$36.93 B,"DDOG
                                        

wb_incandescent",United States,Technology,Software—Application
485,Electronic Arts Inc.,$36.57 B,"EA
                                        

wb_incandescent",United States,Communication Services,Electronic Gaming & Multimedia
486,Romande Energie Holding SA,"$36.56 B
                                            (July 1, 2023)","HREN
                                        

wb_incandescent",Switzerland,Utilities,Utilities—Renewable
